num,x,y,targetX,targetY,errorX,errorY,tot_error,PID_x,PID_y
219,6.0,3.1,0,0,-6.0,-3.1,6.753517601961218,-4.704404163519718,-1.6959242093844191
220,4.6,2.5,0,0,-4.6,-2.5,5.235456045083369,-2.9752896277511476,-1.4451749063732087
221,3.2,1.9,0,0,-3.2,-1.9,3.721558813185679,-4.849765848333812,-2.2381943322655036
222,2.2,1.4,0,0,-2.2,-1.4,2.6076809620810595,-3.714552799885637,-2.061354810329857
223,1.7,0.9,0,0,-1.7,-0.9,1.9235384061671343,-1.951303633252035,-2.289401630440601
224,1.3,0.5,0,0,-1.3,-0.5,1.392838827718412,-1.6336920381187499,-1.9886369667648367
225,1.2,0.2,0,0,-1.2,-0.2,1.2165525060596438,-0.5964759242884143,-1.8859303544616144
226,1.2,-0.1,0,0,-1.2,0.1,1.2041594578792296,-0.16016097092628523,-1.7641803706979102
227,1.5,-0.3,0,0,-1.5,0.3,1.5297058540778354,1.1875290908217333,-1.7057005764245918
228,1.8,-0.4,0,0,-1.8,0.4,1.8439088914585775,1.3318943078016543,-1.3614163986674712
229,2.4,-0.6,0,0,-2.4,0.6,2.4738633753705965,3.018822757943986,-1.9199363956400146
230,3.0,-0.7,0,0,-3.0,0.7,3.0805843601498726,3.30968084269234,-1.563293223390096
231,3.6,-0.8,0,0,-3.6,0.8,3.687817782917155,3.6224808961397748,-1.6194440193018373
232,4.4,-1.0,0,0,-4.4,1.0,4.512205669071391,4.2810424188654626,-1.97446649161679
233,5.1,-1.1,0,0,-5.1,1.1,5.217278984298233,5.0721083019451285,-1.8317385496167342
234,5.6,-1.3,0,0,-5.6,1.3,5.748912940721924,4.607233305220678,-2.3444077066440876
235,6.2,-1.5,0,0,-6.2,1.5,6.378871373526825,5.382388239202246,-2.4607813004047805
236,6.6,-1.7,0,0,-6.6,1.7,6.815423684555495,4.972342102886493,-2.607642899454264
237,6.7,-1.9,0,0,-6.7,1.9,6.96419413859206,3.9977486513448386,-2.772429151692511
238,6.8,-2.0,0,0,-6.8,2.0,7.08801805866774,4.126097348171963,-2.3781694078033113
239,6.5,-2.0,0,0,-6.5,2.0,6.800735254367722,2.59266926523164,-2.108317025661468
240,6.2,-1.9,0,0,-6.2,1.9,6.48459713474939,2.6018255912888675,-1.708916301556051
241,5.6,-1.8,0,0,-5.6,1.8,5.882176467941097,1.2120113424487893,-1.6876504270107882
242,5.1,-1.7,0,0,-5.1,1.7,5.375872022286245,1.4213783875622692,-1.6643076662762621
243,4.4,-1.5,0,0,-4.4,1.5,4.648655719667784,0.458094872470733,-1.2235125187113267
244,3.8,-1.4,0,0,-3.8,1.4,4.049691346263317,1.0358784528301002,-1.6536460483715103
245,3.4,-1.3,0,0,-3.4,1.3,3.640054944640259,1.1949249919119969,-1.5484295267031465
246,3.1,-1.2,0,0,-3.1,1.2,3.3241540277189325,1.5562903460171902,-1.5392151458629981
247,2.6,-1.1,0,0,-2.6,1.1,2.823118842698621,0.5673809054980081,-1.505765079233833
248,2.4,-1.2,0,0,-2.4,1.2,2.6832815729997477,1.6540157621742173,-2.3614507665216466
249,2.2,-1.0,0,0,-2.2,1.0,2.4166091947189146,1.6160810822920681,-1.1147286264376512
250,2.0,-1.0,0,0,-2.0,1.0,2.23606797749979,1.7093731638334702,-1.9095306830406182
251,2.0,-0.9,0,0,-2.0,0.9,2.193171219946131,2.3718643796443937,-1.469461371452162
252,1.9,-0.9,0,0,-1.9,0.9,2.1023796041628637,1.9815471006255234,-1.8941407155990595
253,1.8,-0.9,0,0,-1.8,0.9,2.012461179749811,1.946247731138935,-1.9116821844577785
254,1.7,-1.0,0,0,-1.7,1.0,1.972308292331602,1.937432141949739,-2.3718788605431644
255,1.6,-0.9,0,0,-1.6,0.9,1.8357559750685821,1.9150905072762692,-1.557129392154427
256,1.5,-0.9,0,0,-1.5,0.9,1.7492855684535902,1.988370216534076,-1.9721698133945458
257,1.4,-0.9,0,0,-1.4,0.9,1.6643316977093237,1.863771620821033,-1.9893384444713587
258,1.3,-0.9,0,0,-1.3,0.9,1.5811388300841898,1.8553362864527088,-2.0072431724071493
259,1.1,-0.9,0,0,-1.1,0.9,1.4212670403551897,1.3854793429626444,-2.0251439092159265
260,1.1,-0.9,0,0,-1.1,0.9,1.4212670403551897,2.187969697475433,-2.044119855642318
261,0.9,-0.9,0,0,-0.9,0.9,1.2727922061357855,1.2627039352488372,-2.060729462862014
262,0.7,-0.9,0,0,-0.7,0.9,1.140175425099138,1.3934685513037346,-2.083067867279052
263,0.5,-0.9,0,0,-0.5,0.9,1.0295630140987,1.1454084449667379,-2.1009415974616994
264,0.3,-0.8,0,0,-0.3,0.8,0.8544003745317532,1.0867896089554723,-1.694948187232062
265,-0.1,-0.7,0,0,0.1,0.7,0.7071067811865475,0.00466487730345766,-1.624131563337647
266,-0.5,-0.5,0,0,0.5,0.5,0.7071067811865476,-0.14899443677898017,-1.1573226553011149
267,-0.9,-0.3,0,0,0.9,0.3,0.9486832980505138,-0.3655596748671637,-1.0640024942715112
268,-1.4,0.0,0,0,1.4,0.0,1.4,-0.6459433390088205,-0.7614630846627155
269,-1.9,0.3,0,0,1.9,-0.3,1.9235384061671343,-1.41061471678027,-0.31879556855435043
270,-2.3,0.5,0,0,2.3,-0.5,2.3537204591879637,-1.2306196062311656,-0.6232100598938694
271,-2.9,0.8,0,0,2.9,-0.8,3.0083217912982647,-2.304914529905907,-0.09921506888360176
272,-3.5,1.0,0,0,3.5,-1.0,3.640054944640259,-2.6508075556242723,-0.3703452161323937
273,-4.2,1.3,0,0,4.2,-1.3,4.396589587396122,-3.5781654841708868,0.2330647495392275
274,-4.8,1.5,0,0,4.8,-1.5,5.028916384272063,-3.1712703144444347,-0.16724340542510707
275,-5.4,1.7,0,0,5.4,-1.7,5.661271941887265,-3.983257006222978,0.10141690542134074
276,-5.9,1.7,0,0,5.9,-1.7,6.1400325732035,-4.012863495877814,-0.6396037442684168
277,-6.2,1.9,0,0,6.2,-1.9,6.48459713474939,-3.456839175158513,0.26580956168557046
278,-6.3,2.0,0,0,6.3,-2.0,6.609841147864296,-2.8764224971487202,-0.0173557924077814
279,-6.4,2.0,0,0,6.4,-2.0,6.705221845696085,-3.0519269791827695,-0.36849113702773995
280,-6.3,2.0,0,0,6.3,-2.0,6.609841147864296,-2.460280950609351,-0.31854085206985405
281,-6.1,2.0,0,0,6.1,-2.0,6.4195015382816125,-1.9883193802370491,-0.2797256636619563
282,-5.8,1.9,0,0,5.8,-1.9,6.103277807866851,-1.573025848677114,-0.6850348610711248
283,-5.4,1.8,0,0,5.4,-1.8,5.692099788303083,-1.1286617042154774,-0.6890117363549593
284,-5.1,1.6,0,0,5.1,-1.6,5.345091205957107,-1.4112001439040487,-1.1715477795795852
285,-4.5,1.6,0,0,4.5,-1.6,4.775981574503821,-0.04534457536131864,-0.34650753140449475
286,-4.1,1.5,0,0,4.1,-1.5,4.365775990588615,-1.0496895700612954,-0.668277309270717
287,-3.6,1.3,0,0,3.6,-1.3,3.8275318418009276,-0.1458259562734614,-1.2176733896063234
288,-3.1,1.1,0,0,3.1,-1.1,3.2893768406797057,0.08783993115281685,-1.3138617434591278
289,-2.8,0.9,0,0,2.8,-0.9,2.9410882339705484,-0.6100236444400442,-1.3988745004384586
290,-2.6,0.7,0,0,2.6,-0.7,2.6925824035672523,-0.9998432842307392,-1.4467657426781373
291,-2.4,0.5,0,0,2.4,-0.5,2.4515301344262523,-0.9264800890867091,-1.558024001460852
292,-2.3,0.3,0,0,2.3,-0.3,2.3194827009486403,-1.3939093273643355,-1.5060187209121985
